text,label
"Urgent: Account Suspended. Please verify your password immediately at http://bit.ly/verify-account to avoid permanent lockout.",1
"Security Alert: Unusual login activity detected on your bank account. Click here http://tinyurl.com/bank-security to confirm identity.",1
"Action Required: Your Microsoft 365 password expires today. Reset your password at http://xyz-login.top immediately.",1
"Immediate Action Needed: Overdue invoice payment. Download attached statement and pay at http://cutt.ly/pay-invoice",1
"Account Alert: Your Netflix subscription payment failed. Update billing details at http://is.gd/netflix-billing to prevent service interruption.",1
"Important: Tax refund confirmation required. Submit your SSN and card details at http://click-refund.xyz now.",1
"Security Warning: Unauthorized access attempt from IP 192.0.2.1. Verify your credentials at http://bit.ly/sec-check",1
"Urgent Payroll Update: Confirm your direct deposit bank details at http://tinyurl.com/payroll-update before Friday.",1
"DocuSign: Please sign the urgent contract agreement at http://docusign-verify.xyz/document",1
"IT Helpdesk: Mandatory security update required. Re-authenticate at http://ow.ly/it-update",1
"Your Amazon package delivery is on hold. Update your delivery address at http://amazon-track.xyz",1
"Apple ID Alert: Your account has been locked due to multiple failed logins. Restore access at http://appleid-check.top",1
"PayPal Security: Suspicious transaction of $499.00 detected. Cancel transaction at http://paypal-cancel.xyz",1
"HR Notification: Review your updated employee benefits package at http://bit.ly/hr-benefits-2026",1
"Urgent Security Advisory: Password reset required for corporate VPN. Visit http://vpn-reset.xyz",1
"Quarterly Financial Report Q3. Attached is the presentation for tomorrow's executive board meeting.",0
"Team Lunch on Friday: Please reply with your dietary preferences by Wednesday afternoon.",0
"Sprint Planning Agenda: Meeting scheduled for Monday at 10:00 AM UTC in Room 3B.",0
"Project Update: Phase 6 completed successfully. Please review the attached release notes.",0
"Weekly Engineering Digest: New Python guidelines and documentation standards released.",0
"Reminder: Annual compliance training due by end of month. Access the internal LMS portal.",0
"Invoice #4829 from Vendor Services: Payment processed successfully on August 20th.",0
"Deployment Status: Production release v2.4.0 completed without downtime.",0
"Code Review Request: Pull request #142 ready for review in repository.",0
"All Hands Meeting Notes: Summary of Q2 performance and Q3 roadmap discussions.",0
"Client Onboarding Checklist: Documentation and account setup guidelines attached.",0
"Design System Update: New color palette and typography tokens available in Figma.",0
"IT Maintenance Announcement: Scheduled server maintenance this Saturday from 2 AM to 4 AM.",0
"Monthly Infrastructure Usage Report: AWS cost breakdown and optimization suggestions.",0
"Welcome to the Team! Please review the onboarding documentation and complete your profile.",0
